window,year,round,pick,pick_seed,opp_seed,model_p,ml,ml_opp,spread,margin,correct,covered,push
all_prior,2012,R64,Virginia,10,7,0.5098315937371105,135,-155,2.5,-26,False,False,False
all_prior,2012,R64,Missouri,2,15,0.7667847222222222,-8055,3255,-21.0,-2,False,False,False
all_prior,2012,R32,Michigan St.,1,9,0.7918473810989721,-330,270,-7.5,4,True,False,False
all_prior,2012,R32,New Mexico,5,4,0.5872014235953354,110,-130,2.0,-3,False,False,False
all_prior,2012,R32,Marquette,3,6,0.6305206985614794,-255,205,-5.5,9,True,True,False
all_prior,2012,R32,Florida,7,15,0.7384608020706125,-1400,900,-14.0,34,True,True,False
all_prior,2012,S16,Michigan St.,1,4,0.695422361109757,-240,200,-5.5,-13,False,False,False
all_prior,2012,S16,Marquette,3,7,0.5013429539295393,-125,105,-1.5,-10,False,False,False
all_prior,2012,E8,Florida,7,4,0.5350991095625242,-116,105,-1.0,-4,False,False,False
all_prior,2012,R64,Kentucky,1,16,0.8642077325553875,-21255,7255,-26.5,15,True,False,False
all_prior,2012,R64,Connecticut,9,8,0.5004440119500885,-130,110,-2.0,-13,False,False,False
all_prior,2012,R64,Wichita St.,5,12,0.692962370075465,-355,285,-7.5,-3,False,False,False
all_prior,2012,R64,Indiana,4,13,0.8738580261814836,-285,225,-6.0,13,True,True,False
all_prior,2012,R64,UNLV,6,11,0.7356878857553074,-270,220,-5.5,-4,False,False,False
all_prior,2012,R64,Baylor,3,14,0.7608187096218567,-380,310,-7.5,8,True,True,False
all_prior,2012,R64,Notre Dame,7,10,0.5380478983570282,-135,115,-2.0,-4,False,False,False
all_prior,2012,R64,Duke,2,15,0.7772992983378451,-855,555,-11.0,-5,False,False,False
all_prior,2012,R32,Kentucky,1,8,0.7685330663227083,-935,635,-12.0,16,True,True,False
all_prior,2012,R32,Indiana,4,12,0.6936470271904568,-250,200,-5.5,2,True,False,False
all_prior,2012,R32,Baylor,3,11,0.829834075511497,-400,320,-8.0,17,True,True,False
all_prior,2012,R32,Xavier,10,15,0.5536144738039236,-190,165,-3.5,12,True,True,False
all_prior,2012,S16,Kentucky,1,4,0.7499669147380209,-580,440,-9.5,12,True,True,False
all_prior,2012,S16,Baylor,3,10,0.7388722674193976,-300,250,-6.5,5,True,False,False
all_prior,2012,E8,Kentucky,1,3,0.7663884121907,-420,345,-7.5,12,True,True,False
all_prior,2012,Championship,Kentucky,1,2,0.6910902993410174,-300,250,-6.0,8,True,True,False
all_prior,2013,R64,Indiana,1,16,0.95,-8485,4485,-21.5,21,True,False,False
all_prior,2013,R64,North Carolina St.,8,9,0.68,-200,175,-4.0,-4,False,False,False
all_prior,2013,R64,UNLV,5,12,0.79,-185,165,-3.5,-3,False,False,False
all_prior,2013,R64,Syracuse,4,13,0.94,-1190,790,-13.0,47,True,True,False
all_prior,2013,R64,Butler,6,11,0.71,-170,150,-3.0,12,True,True,False
all_prior,2013,R64,Marquette,3,14,0.77,-180,160,-3.0,1,True,False,False
all_prior,2013,R64,Illinois,7,10,0.68,-115,-105,-1.0,8,True,True,False
all_prior,2013,R64,Miami FL,2,15,0.9,-1345,895,-14.0,29,True,True,False
all_prior,2013,R32,Indiana,1,9,0.9,-1090,790,-12.5,6,True,False,False
all_prior,2013,R32,Syracuse,4,12,0.9,-390,320,-8.0,6,True,False,False
all_prior,2013,R32,Marquette,3,6,0.69,-130,110,-1.5,2,True,True,False
all_prior,2013,R32,Miami FL,2,7,0.79,-430,350,-7.5,4,True,False,False
all_prior,2013,S16,Indiana,1,4,0.62,-240,200,-5.0,-11,False,False,False
all_prior,2013,S16,Miami FL,2,3,0.76,-290,240,-5.5,-10,False,False,False
all_prior,2013,E8,Syracuse,4,3,0.53,-215,185,-4.5,16,True,True,False
all_prior,2013,R64,Kansas,1,16,0.93,-6495,3495,-20.5,7,True,False,False
all_prior,2013,R64,North Carolina,8,9,0.6,-235,200,-5.0,7,True,True,False
all_prior,2013,R64,VCU,5,12,0.59,-375,315,-7.0,46,True,True,False
all_prior,2013,R64,Michigan,4,13,0.96,-1000,700,-12.0,15,True,True,False
all_prior,2013,R64,Minnesota,11,6,0.52,-170,150,-3.5,20,True,True,False
all_prior,2013,R64,Florida,3,14,0.79,-5685,2985,-20.0,32,True,True,False
all_prior,2013,R64,San Diego St.,7,10,0.61,-150,130,-2.5,15,True,True,False
all_prior,2013,R64,Georgetown,2,15,0.85,-1150,750,-13.5,-10,False,False,False
all_prior,2013,R32,Kansas,1,8,0.75,-310,260,-6.5,12,True,True,False
all_prior,2013,R32,Michigan,4,5,0.66,-180,160,-3.5,25,True,True,False
all_prior,2013,R32,Florida,3,11,0.77,-370,310,-7.5,14,True,True,False
all_prior,2013,R32,San Diego St.,7,15,0.75,-350,290,-7.5,-10,False,False,False
all_prior,2013,S16,Kansas,1,4,0.76,-130,110,-1.5,-2,False,False,False
all_prior,2013,S16,Florida,3,15,0.89,-1240,840,-14.5,12,True,False,False
all_prior,2013,E8,Florida,3,4,0.73,-190,160,-3.5,-20,False,False,False
all_prior,2013,R64,Gonzaga,1,16,0.95,-7990,3990,-22.5,6,True,False,False
all_prior,2013,R64,Pittsburgh,8,9,0.57,-200,175,-4.5,-18,False,False,False
all_prior,2013,R64,Wisconsin,5,12,0.56,-295,255,-6.5,-11,False,False,False
all_prior,2013,R64,Kansas St.,4,13,0.88,-260,220,-6.0,-2,False,False,False
all_prior,2013,R64,Arizona,6,11,0.87,-200,175,-4.5,17,True,True,False
all_prior,2013,R64,New Mexico,3,14,0.89,-705,545,-10.5,-6,False,False,False
all_prior,2013,R64,Notre Dame,7,10,0.6,105,-125,1.0,-18,False,False,False
all_prior,2013,R64,Ohio St.,2,15,0.87,-1650,1100,-15.0,25,True,True,False
all_prior,2013,R32,Gonzaga,1,9,0.75,-315,265,-7.0,-6,False,False,False
all_prior,2013,R32,Mississippi,12,13,0.6,-180,160,-3.5,-2,False,False,False
all_prior,2013,R32,Arizona,6,14,0.96,-635,510,-10.5,23,True,True,False
all_prior,2013,R32,Ohio St.,2,10,0.76,-365,305,-7.5,3,True,False,False
all_prior,2013,S16,Wichita St.,9,13,0.65,-230,190,-4.5,14,True,True,False
